,total_load_kw,active_sessions,hour,day_of_week,month,lag_24h,lag_1h,rolling_mean_24h
2019-11-04 13:15:00,5.619274027724028,2.0,13,0,11,0.0,3.270005735041101,5.369910951267868
2019-11-04 13:30:00,10.39134570941155,4.0,13,0,11,0.0,3.270005735041101,5.478154135740905
2019-11-04 13:45:00,25.333002363261315,9.0,13,0,11,6.246673286991062,5.619274027724028,5.676970063618721
2019-11-04 14:00:00,35.857911581225885,14.0,14,0,11,6.246673286991062,5.619274027724028,5.985420462516999
2019-11-04 14:15:00,49.02672054412995,18.0,14,0,11,6.246673286991062,5.619274027724028,6.431045954778863
2019-11-04 14:30:00,84.5714795773068,27.0,14,0,11,6.246673286991062,10.39134570941155,7.246929353636318
2019-11-04 14:45:00,102.99927601797093,34.0,14,0,11,6.246673286991062,25.333002363261315,8.254768965417359
2019-11-04 15:00:00,132.35864058583365,43.0,15,0,11,6.246673286991062,35.857911581225885,9.568435291446969
2019-11-04 15:15:00,153.33127630186772,50.0,15,0,11,6.246673286991062,49.02672054412995,11.100566572851934
2019-11-04 15:30:00,156.20892364544753,51.0,15,0,11,6.246673286991062,84.5714795773068,12.662673347419188
2019-11-04 15:45:00,156.20892364544753,51.0,15,0,11,6.246673286991062,102.99927601797093,14.224780121986443
2019-11-04 16:00:00,151.07723955403608,49.0,16,0,11,6.246673286991062,132.35864058583365,15.73343185393483
2019-11-04 16:15:00,155.4797444725554,49.0,16,0,11,6.246673286991062,153.33127630186772,17.28794301211779
2019-11-04 16:30:00,152.53210662367863,48.0,16,0,11,6.246673286991062,156.20892364544753,18.811749609374953
2019-11-04 16:45:00,147.4029609941583,46.0,16,0,11,6.246673286991062,156.20892364544753,20.28212760632461
2019-11-04 17:00:00,147.4029609941583,46.0,17,0,11,11.926484641970202,151.07723955403608,21.693340901659905
2019-11-04 17:15:00,147.4029609941583,46.0,17,0,11,11.926484641970202,155.4797444725554,23.1045541969952
2019-11-04 17:30:00,144.58393422532558,45.0,17,0,11,11.926484641970202,152.53210662367863,24.486402630155144
2019-11-04 17:45:00,138.4116382101453,44.0,17,0,11,11.926484641970202,147.4029609941583,25.803956313156974
2019-11-04 18:00:00,131.9438022110042,42.0,18,0,11,11.926484641970202,147.4029609941583,27.054136704501076
2019-11-04 18:15:00,125.6088891886547,40.0,18,0,11,11.926484641970202,147.4029609941583,28.23832841852904
2019-11-04 18:30:00,125.6088891886547,40.0,18,0,11,5.67981135497914,144.58393422532558,29.48758964596316
2019-11-04 18:45:00,121.57943063201043,38.0,18,0,11,11.849825911019899,138.4116382101453,30.630606361806812
2019-11-04 19:00:00,127.03845827738698,39.0,19,0,11,11.849825911019899,131.9438022110042,31.83048794895647
2019-11-04 19:15:00,128.62230638816266,39.0,19,0,11,6.1700145560407575,125.6088891886547,33.10603265554107
2019-11-04 19:30:00,123.19089984032465,37.0,19,0,11,6.1700145560407575,125.6088891886547,34.32500021058569
2019-11-04 19:45:00,118.51657484164586,35.0,19,0,11,12.487927177399982,121.57943063201043,35.42946529042159
2019-11-04 20:00:00,107.34137062306908,31.0,20,0,11,12.487927177399982,127.03845827738698,36.417521992980646
2019-11-04 20:15:00,107.39798921910746,31.0,20,0,11,12.487927177399982,128.62230638816266,37.40616847258176
2019-11-04 20:30:00,99.541323385227,28.0,20,0,11,12.487927177399982,123.19089984032465,38.312974683079965
2019-11-04 20:45:00,96.84978055305918,27.0,20,0,11,12.487927177399982,118.51657484164586,39.19174398907641
2019-11-04 21:00:00,95.05823961810988,26.0,21,0,11,12.487927177399982,107.34137062306908,40.0518514103338
2019-11-04 21:15:00,96.99698416691753,26.0,21,0,11,12.487927177399982,107.39798921910746,40.93215408730795
2019-11-04 21:30:00,91.99629320733175,26.0,21,0,11,12.487927177399982,99.541323385227,41.76036623345307
2019-11-04 21:45:00,91.99629320733175,26.0,21,0,11,18.378494692077084,96.84978055305918,42.52721830132031
2019-11-04 22:00:00,94.53395770000061,26.0,22,0,11,18.378494692077084,95.05823961810988,43.32050437431951
2019-11-04 22:15:00,85.40113356996868,24.0,22,0,11,18.378494692077084,96.99698416691753,44.018656862630884
2019-11-04 22:30:00,85.40113356996868,24.0,22,0,11,12.06058207071786,91.99629320733175,44.782620940748075
2019-11-04 22:45:00,80.71923574313969,23.0,22,0,11,12.06058207071786,91.99629320733175,45.49781524983581
2019-11-04 23:00:00,72.97414060580398,21.0,23,0,11,15.35765668450114,94.53395770000061,46.09798695734938
2019-11-04 23:15:00,75.99882454797064,22.0,23,0,11,15.35765668450114,85.40113356996868,46.729665789260515
2019-11-04 23:30:00,96.95279737026917,27.0,23,0,11,15.35765668450114,85.40113356996868,47.57961517140393
2019-11-04 23:45:00,106.12955763142196,29.0,23,0,11,15.35765668450114,80.71923574313969,48.5251558062677
2019-11-05 00:00:00,102.99265131715569,27.0,0,1,11,15.35765668450114,72.97414060580398,49.43802033369118
2019-11-05 00:15:00,109.16510164828152,28.0,0,1,11,15.35765668450114,75.99882454797064,50.41518121873056
2019-11-05 00:30:00,107.42092984978687,26.0,0,1,11,3.29707461378328,96.95279737026917,51.49980471077226
2019-11-05 00:45:00,111.29677345664469,26.0,0,1,11,3.29707461378328,106.12955763142196,52.624801573718734
2019-11-05 01:00:00,105.54948089333773,25.0,1,1,11,3.29707461378328,102.99265131715569,53.689930805797424
2019-11-05 01:15:00,100.86142969731537,23.0,1,1,11,3.29707461378328,109.16510164828152,54.70622617125088
2019-11-05 01:30:00,86.11198932826788,19.0,1,1,11,3.29707461378328,107.42092984978687,55.5688815328601
2019-11-05 01:45:00,65.73949478761938,15.0,1,1,11,3.29707461378328,111.29677345664469,56.21932340967089
2019-11-05 02:00:00,57.931776161066,13.0,2,1,11,0.0,105.54948089333773,56.822779411348655
2019-11-05 02:15:00,52.034051517795646,12.0,2,1,11,0.0,100.86142969731537,57.3648007813257
2019-11-05 02:30:00,38.38388833358431,8.0,2,1,11,0.0,86.11198932826788,57.7646329514672
2019-11-05 02:45:00,29.23809004241031,6.0,2,1,11,0.0,65.73949478761938,58.06919638940897
2019-11-05 03:00:00,17.883204623991755,4.0,3,1,11,0.0,57.931776161066,58.25547977090889
2019-11-05 03:15:00,14.62662084902233,3.0,3,1,11,0.0,52.034051517795646,58.407840404752875
2019-11-05 03:30:00,14.62662084902233,3.0,3,1,11,0.0,38.38388833358431,58.56020103859686
2019-11-05 03:45:00,11.601936906855675,2.0,3,1,11,0.0,29.23809004241031,58.68105454804327
2019-11-05 04:00:00,11.601936906855675,2.0,4,1,11,0.0,17.883204623991755,58.801908057489676
2019-11-05 04:15:00,6.142909261479127,1.0,4,1,11,0.0,14.62662084902233,58.865896695630084
2019-11-05 04:30:00,6.142909261479127,1.0,4,1,11,0.0,14.62662084902233,58.9298853337705
2019-11-05 04:45:00,0.0,0.0,4,1,11,0.0,11.601936906855675,58.9298853337705
2019-11-05 05:00:00,3.038182666874125,1.0,5,1,11,0.0,11.601936906855675,58.961533069883764
2019-11-05 05:15:00,3.038182666874125,1.0,5,1,11,0.0,6.142909261479127,58.99318080599704
2019-11-05 05:30:00,3.038182666874125,1.0,5,1,11,0.0,6.142909261479127,59.024828542110306
2019-11-05 05:45:00,3.038182666874125,1.0,5,1,11,0.0,0.0,59.056476278223585
2019-11-05 06:00:00,3.038182666874125,1.0,6,1,11,0.0,3.038182666874125,59.08812401433686
2019-11-05 06:15:00,3.038182666874125,1.0,6,1,11,0.0,3.038182666874125,59.11977175045013
2019-11-05 06:30:00,3.038182666874125,1.0,6,1,11,0.0,3.038182666874125,59.151419486563405
2019-11-05 06:45:00,3.038182666874125,1.0,6,1,11,0.0,3.038182666874125,59.18306722267667
2019-11-05 07:00:00,3.038182666874125,1.0,7,1,11,0.0,3.038182666874125,59.21471495878995
2019-11-05 07:15:00,0.0,0.0,7,1,11,0.0,3.038182666874125,59.21471495878995
2019-11-05 07:30:00,0.0,0.0,7,1,11,0.0,3.038182666874125,59.21471495878995
2019-11-05 07:45:00,0.0,0.0,7,1,11,0.0,3.038182666874125,59.21471495878995
2019-11-05 08:00:00,0.0,0.0,8,1,11,0.0,3.038182666874125,59.21471495878995
2019-11-05 08:15:00,0.0,0.0,8,1,11,0.0,0.0,59.21471495878995
2019-11-05 08:30:00,0.0,0.0,8,1,11,0.0,0.0,59.21471495878995
